Position (mm),Shear Force (N),Bending Moment (N*mm)
0.0,500.0,-751000.0
157.89473684210526,500.0,-672052.6315789474
315.7894736842105,500.0,-593105.2631578947
473.6842105263158,500.0,-514157.89473684214
631.578947368421,500.0,-435210.5263157895
789.4736842105262,500.0,-356263.1578947369
947.3684210526316,500.0,-277315.7894736843
1105.2631578947369,500.0,-198368.42105263157
1263.157894736842,500.0,-119421.05263157899
1421.0526315789473,500.0,-40473.68421052641
1578.9473684210525,0.0,-1000.0000000001164
1736.842105263158,0.0,-1000.0000000001164
1894.7368421052631,0.0,-1000.0000000001164
2052.6315789473683,0.0,-1000.0000000001164
2210.5263157894738,0.0,-1000.0000000001164
2368.4210526315787,0.0,-1000.0000000001164
2526.315789473684,0.0,-1000.0000000001164
2684.2105263157896,0.0,-1000.0000000001164
2842.1052631578946,0.0,-1000.0000000001164
3000.0,0.0,-1.1641532182693481e-10
