Position (mm),Shear Force (N),Bending Moment (N*mm)
0.0,1500.0,-1500000.0
315.7894736842105,1342.1052631578948,-1051246.5373961218
631.578947368421,1184.2105263157896,-652354.570637119
947.3684210526316,1026.3157894736842,-303324.0997229917
1263.157894736842,868.421052631579,-4155.124653739622
1578.9473684210525,710.5263157894738,245152.354570637
1894.7368421052631,552.6315789473684,444598.3379501384
2210.5263157894738,394.7368421052631,594182.8254847645
2526.315789473684,236.84210526315792,693905.8171745152
2842.1052631578946,78.94736842105272,743767.3130193907
3157.894736842105,-78.94736842105249,743767.3130193907
3473.684210526316,-236.84210526315792,693905.8171745152
3789.4736842105262,-394.7368421052631,594182.8254847645
4105.263157894737,-552.6315789473683,444598.3379501386
4421.0526315789475,-710.5263157894738,245152.354570637
4736.8421052631575,-868.4210526315787,-4155.124653739389
5052.631578947368,-1026.3157894736842,-303324.0997229917
5368.421052631579,-1184.2105263157896,-652354.5706371195
5684.210526315789,-1342.1052631578946,-1051246.5373961215
6000.0,0.0,-1263157.8947368418
