Position (mm),Shear Force (N),Bending Moment (N*mm)
0.0,1100.0,0.0
263.1578947368421,1047.3684210526317,282548.4764542936
526.3157894736842,994.7368421052631,551246.5373961218
789.4736842105262,942.1052631578948,806094.1828254847
1052.6315789473683,889.4736842105264,1047091.4127423821
1315.7894736842104,836.8421052631579,1274238.2271468143
1578.9473684210525,784.2105263157895,1487534.6260387811
1842.1052631578946,731.578947368421,1686980.6094182825
2105.2631578947367,-321.0526315789473,1740997.2299168974
2368.4210526315787,-373.68421052631584,1649584.487534626
2631.578947368421,-426.31578947368416,1544321.329639889
2894.736842105263,-478.9473684210525,1425207.7562326868
3157.894736842105,-531.578947368421,1292243.7673130194
3421.052631578947,-584.2105263157896,1145429.3628808865
3684.210526315789,-636.8421052631579,984764.5429362882
3947.368421052631,-689.4736842105262,810249.3074792245
4210.526315789473,-742.1052631578946,621883.6565096955
4473.684210526315,-794.7368421052629,419667.59002770146
4736.8421052631575,-847.3684210526317,203601.1080332413
5000.0,0.0,92105.26315789483
